sample-id,region,zone,env_var1,env_var2,env_var3,env_var4,env_var5,env_var6,env_var7
sample50,region4,zone4,0.5,52.3,53,566,63.514,0,2582
sample51,region4,zone4,0.5,52.3,53,566,63.514,0,2582
sample46,region4,zone4,0.5,49,49,524,59.049,0,3010
sample47,region4,zone4,0.5,49,49,524,59.049,0,3010
sample48,region4,zone4,0.5,52.5,54,568,63.872,0,2485
sample49,region4,zone4,0.5,52.5,54,568,63.872,0,2485
sample72,region2,zone1,6.2,2.1,2,14,1.702,4706,7006
sample70,region2,zone1,9.9,2.3,2,16,2.012,4706,6892
sample71,region2,zone1,9.9,2.3,2,16,2.012,4706,6892
sample82,region2,zone2,19.5,45.7,46,486,44.764,4706,3005
sample73,region2,zone3,25,51.9,54,563,50.979,4706,2127
sample52,region2,zone3,29.5,52.3,55,570,52.054,4706,2108
sample78,region2,zone3,40,52.5,55,572,52.627,4706,2094
sample79,region2,zone3,40,52.5,55,572,52.627,4706,2094
sample74,region2,zone3,50,53,57,576,54.979,4706,2184
sample69,region2,zone3,60,53.5,60,585,57.529,4706,2209
sample64,region3,zone1,8.2,6,6,45,5.259,756,7766
sample26,region3,zone2,10.1,9.1,9,74,8.431,756,6285
sample27,region3,zone2,10.1,9.1,9,74,8.431,756,6285
sample84,region3,zone2,10.9,43.4,43,455,44.723,756,3144
sample60,region3,zone3,13,52.2,54,571,52.253,756,2123
sample61,region3,zone3,13,52.2,54,571,52.253,756,2123
sample118,region3,zone3,15.2,NA,NA,0,NA,756,NA
sample119,region3,zone3,15.2,NA,NA,0,NA,756,NA
sample85,region4,zone2,1,17.7,16,161,16.203,218,6182
sample86,region4,zone2,1,17.7,16,161,16.203,218,6182
sample11,region4,zone2,1.8,14.7,13,129,13.591,218,6525
sample12,region4,zone2,1.8,14.7,13,129,13.591,218,6525
sample104,region4,zone2,4.2,15,14,133,13.459,218,6439
sample14,region4,zone2,7.5,29.8,28,298,28.603,218,4941
sample15,region4,zone2,7.5,29.8,28,298,28.603,218,4941
sample92,region1,zone1,1.1,4.3,3,33,3.677,4688,6993
sample93,region1,zone1,1.1,4.3,3,35,3.677,4688,6993
sample83,region1,zone1,10.8,5,5,38,4.47,4688,7193
sample114,region1,zone1,12.6,5.1,6,45,5.247,4688,7181
sample115,region1,zone1,12.6,5.1,6,45,5.247,4688,7181
sample94,region1,zone1,14.4,5.9,7,52,6.297,4688,7099
sample95,region1,zone1,14.4,5.9,7,52,6.297,4688,7099
sample5,region1,zone2,15.2,6.8,10,88,10.204,4688,6924
sample120,region1,zone2,15.2,6.8,10,88,10.204,4688,6924
sample87,region1,zone2,16.8,10.7,42,440,41.446,4688,3649
sample88,region1,zone2,16.8,10.7,42,440,41.446,4688,3649
sample28,region1,zone3,18.9,42,54,565,52.203,4688,2172
sample116,region1,zone3,18.9,52.3,54,565,52.203,4688,2172
sample117,region1,zone3,18.9,52.3,54,565,52.203,4688,2172
sample8,region2,zone1,1,1.2,1,7,0.864,9903,4240
sample9,region2,zone1,1,1.2,1,7,0.864,9903,4240
sample59,region2,zone1,3.7,2.4,2,17,2.185,9903,6909
sample110,region2,zone1,12,2.5,2,17,2.178,9903,6933
sample111,region2,zone1,12,2.5,2,17,2.178,9903,6933
sample24,region2,zone1,18.6,3.9,3,30,3.432,9903,6843
sample25,region2,zone1,18.6,3.9,3,0,3.432,9903,6843
sample34,region1,zone1,11,4.7,4,37,4.324,5499,7206
sample35,region1,zone1,11,4.7,4,37,4.324,5499,7206
sample113,region1,zone2,16.5,10,9,82,9.289,5499,6789
sample91,region1,zone2,18.5,37.9,37,388,39.498,5499,4109
sample33,region1,zone3,22,52.3,54,567,52.627,5499,2101
sample98,region1,zone1,1,2.6,2,18,2.031,2178,5623
sample99,region1,zone1,1,2.6,2,18,2.031,2178,5623
sample18,region1,zone1,2.3,2.1,1,14,1.501,2178,5934
sample19,region1,zone1,2.3,2.1,1,14,1.501,2178,5934
sample40,region1,zone1,4.9,5.8,6,48,5.178,2178,7262
sample63,region1,zone1,5,5.8,6,44,5.156,2178,7231
sample43,region1,zone2,12.4,10.5,9,86,9.853,2178,6826
sample36,region1,zone3,15.5,52.4,54,565,51.469,2178,2132
sample37,region1,zone3,15.5,52.4,54,565,51.469,2178,2132
sample96,region6,zone1,1.2,2.7,2,19,2.268,5729,6896
sample97,region6,zone1,1.2,2.7,2,19,2.268,5729,6896
sample31,region6,zone1,5.2,2.7,2,19,2.324,5729,6904
sample32,region6,zone1,5.2,2.7,2,19,2.324,5729,6904
sample62,region6,zone1,10.4,2.8,2,20,2.374,5729,6927
sample22,region6,zone1,12,3,2,22,2.574,5729,6889
sample23,region6,zone1,12,3,4,22,2.574,5729,6889
sample102,region6,zone2,14,9.1,8,73,9.632,5729,6519
sample103,region6,zone2,14,9.1,8,73,9.632,5729,6519
sample20,region6,zone2,16,29.7,28,294,34.45,5729,4648
sample21,region6,zone2,16,29.7,28,294,34.45,5729,4648
sample89,region6,zone2,18,43.9,44,462,52.721,5729,NA
sample6,region6,zone2,19.8,48.5,50,519,58.692,5729,2538
sample7,region6,zone2,19.8,48.5,50,519,58.692,5729,2538
sample100,region6,zone3,29,52.1,54,563,63.827,5729,1977
sample101,region6,zone3,29,52.1,54,563,63.827,5729,1977
sample44,region6,zone3,32.3,38.4,37,396,45.626,5729,NA
sample45,region6,zone3,32.3,38.4,37,396,45.626,5729,NA
sample67,region6,zone3,33.6,52.4,54,567,64.264,5729,2064
sample68,region6,zone3,33.6,52.4,54,567,64.264,5729,2064
sample16,region6,zone3,40,52.5,55,569,64.63,5729,2240
sample17,region6,zone3,40,52.5,55,569,64.63,5729,2240
sample108,region6,zone3,60,53.6,60,583,69.897,5729,2198
sample109,region6,zone3,60,53.6,60,583,69.897,5729,2198
sample41,region2,zone1,1.9,2.7,2,19,2.438,3090,6631
sample42,region2,zone1,1.9,2.7,2,19,2.438,3090,6631
sample106,region2,zone1,5.3,2.8,2,20,2.564,3090,6727
sample107,region2,zone1,5.3,2.8,2,20,2.564,3090,6727
sample13,region2,zone1,5.8,3.4,3,25,2.978,3090,6835
sample90,region2,zone1,8,3.3,3,25,2.952,3090,6813
sample57,region2,zone2,14.5,10.7,10,89,11.288,3090,6648
sample58,region2,zone2,14.5,10.7,10,89,11.288,3090,6648
sample29,region2,zone2,16.2,34.6,33,353,41.177,3090,4489
sample30,region2,zone2,16.2,34.6,33,353,41.177,3090,4489
sample55,region2,zone2,19.2,49.3,50,535,60.18,3090,2357
sample56,region2,zone2,19.2,49.3,50,535,60.18,3090,2357
sample75,region4,zone2,1.2,34.5,33,352,33.584,839,4310
sample76,region4,zone3,4.4,48.3,49,520,48.964,839,3006
sample77,region4,zone3,4.4,48.3,49,520,48.964,839,3006
sample80,region4,zone2,1.7,21.8,20,207,20.851,988,5498
sample81,region4,zone2,1.7,21.8,20,207,20.851,988,5498
sample53,region4,zone3,3.7,49.9,51,537,56.982,988,2845
sample54,region4,zone3,3.7,49.9,51,537,56.982,988,2845
sample38,region3,zone1,1,3.6,3,27,3.145,1505,6548
sample39,region3,zone1,1,3.6,3,27,3.145,1505,6548
sample112,region3,zone1,11.5,3.6,3,27,3.109,1505,7538
sample65,region3,zone3,12.7,50.2,51,547,61.148,1505,2375
sample66,region3,zone3,12.7,50.2,51,547,61.148,1505,2375
sample10,region3,zone3,13.1,51.4,53,562,62.266,1505,2247
sample105,region3,zone3,14.4,52,54,571,63.577,1505,2115
